record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_3LYAcs0YrGbqFaSNA,2194196,new_entry,,,"","Papua New Guinea, April 9, the Prime Minister has urged the public not to stigmatize people who are infected with Covid-19 or suspected of having the virus. Mr Marape said someone who tested positive to Covid-19 was not a threat to society, so people should remain calm and patient.",2020-04-09,2020-04-09,2020-04-09,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,Provincial/State Government,70.4061980855047,66.6356715579914,63.416719576065,58,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1JWbe22ulOHwdBf,https://www.rnz.co.nz/international/pacific-news/413924/png-pm-urges-public-not-to-stigmatise-over-covid-19,2020-05-11,2020-05-11T14:04:05Z,2,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_1nZStFIkbcY54iBNA,8871947,new_entry,,,"","""Minister for Information & Communication Technology, Hon. Timothy Masiu today urged Papua New Guineans not to believe unsubstantiated claims that the roll out of 5G technology is somehow responsible for the spread of COVID-19 in PNG and around the world.""",2020-04-09,2020-04-09,2020-04-10,The policy is a one-time measure (e.g. publication of guidelines),Papua New Guinea,PNG,PG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Papua New Guinea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),70.4061980855047,66.6356715579914,63.416719576065,58,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3pgJyd85jIoVcIF ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_WifKmBNjYzeFOgh,NA ; https://covid19.info.gov.pg/communications-minister-allays-fears-on-claims-of-5g-contributing-to-spread-of-covid-19/,2021-05-27,2021-05-27T10:09:28Z,2,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_1EiBWiBPIGX2tU0NA,5617999,new_entry,,,"","Papua New Guinea “ Prime Minister will on Monday discuss in general ,the government’s approach to the COVID-19 pandemic and its efforts in addressing the effects of the pandemic.This program will go on during the SOE on TV and radio stations throughout the country ,”",2020-05-03,2020-05-04,2020-06-02,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Papua New Guinea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"Provincial/State Government,New (COVID-19 specific) Task Force",69.3520247086334,66.1624672704726,62.6054313164893,60,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1EXab6OncbwqAk3,https://covid19.info.gov.pg/index.php/2020/05/04/covid-19-tv-and-radio-show-aims-at-providing-facts/,2021-05-31,2021-05-31T12:33:54Z,8,0,8,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_r88lp2w3BVsO6PLNA,863174,new_entry,,,"","Papua New Guinea states ""No person shall enter PNG who has
received a vaccine for COVID-19, that has not been approved by the Controller""",2020-09-03,2020-09-03,,The policy’s end date is unknown or unreported,Papua New Guinea,PNG,PG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Papua New Guinea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Other; please list other enforcement mechanisms in the text entry),New (COVID-19 specific) Task Force,55.2187908072281,51.7152048176524,48.3167651302693,46,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3Pn0yaaSKqoiogq,https://www.health.gov.pg/covid19/PNGSR37PCOVID-19(2020-09-07).pdf,2021-05-31,2021-05-31T13:18:39Z,471,5,232,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_2qxRIXm801YE0zzEl,8387766El,new_entry,,,"",Papua New Guinea announces that all schools will be closed starting March 24,2020-03-23,2020-03-24,2020-04-07,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,56.3966413458409,52.0166602224205,48.1920566928599,35,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JgEvh7RSaiI7EB,https://www.rnz.co.nz/international/pacific-news/412357/coronavirus-png-announces-lockdown-solomons-closes-border-to-non-citizens,2021-06-08,2021-06-08T10:32:05Z,1,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_2qxRIXm801YE0zzFv,8387766Fv,new_entry,,,"",Papua New Guinea announces that all schools will be closed starting March 24,2020-03-23,2020-03-24,2020-04-07,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,56.3966413458409,52.0166602224205,48.1920566928599,35,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JgEvh7RSaiI7EB,https://www.rnz.co.nz/international/pacific-news/412357/coronavirus-png-announces-lockdown-solomons-closes-border-to-non-citizens,2021-06-08,2021-06-08T10:32:05Z,1,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_2qxRIXm801YE0zzCd,8387766Cd,new_entry,,,"",Papua New Guinea announces that all schools will be closed starting March 24,2020-03-23,2020-03-24,2020-04-07,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,56.3966413458409,52.0166602224205,48.1920566928599,35,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JgEvh7RSaiI7EB,https://www.rnz.co.nz/international/pacific-news/412357/coronavirus-png-announces-lockdown-solomons-closes-border-to-non-citizens,2021-06-08,2021-06-08T10:32:05Z,1,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_1Fn5kvsG9uNGY47El,8387766El,update,,,"",Papua New Guinea's Prime Minister announced that all schools will remain suspended for a further two weeks until April 24 UPDATE: The closure of schools will be extended until April 24,2020-03-24,2020-03-24,2020-04-24,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,56.3966413458409,52.0166602224205,48.1920566928599,35,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1GPKLhtOKzksFWM ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2z8hIl6skp9tOpD,https://postcourier.com.pg/schools-out-for-two-more-weeks/,2020-04-06,2020-04-06T06:38:24Z,1,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_1Fn5kvsG9uNGY47Fv,8387766Fv,update,,,"",Papua New Guinea's Prime Minister announced that all schools will remain suspended for a further two weeks until April 24 UPDATE: The closure of schools will be extended until April 24,2020-03-24,2020-03-24,2020-04-24,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,56.3966413458409,52.0166602224205,48.1920566928599,35,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1GPKLhtOKzksFWM ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2z8hIl6skp9tOpD,https://postcourier.com.pg/schools-out-for-two-more-weeks/,2020-04-06,2020-04-06T06:38:24Z,1,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_1Fn5kvsG9uNGY47Cd,8387766Cd,update,,,"",Papua New Guinea's Prime Minister announced that all schools will remain suspended for a further two weeks until April 24 UPDATE: The closure of schools will be extended until April 24,2020-03-24,2020-03-24,2020-04-24,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,56.3966413458409,52.0166602224205,48.1920566928599,35,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1GPKLhtOKzksFWM ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2z8hIl6skp9tOpD,https://postcourier.com.pg/schools-out-for-two-more-weeks/,2020-04-06,2020-04-06T06:38:24Z,1,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_1MK9dHQ9ZDIoAwIEl,8387766El,update,End of Policy,,"",Papua New Guinea announces that all schools will be closed starting March 24 until April 27. UPDATE: Policy ends because tertiary education resumed April 27.,2020-03-23,2020-03-24,2020-04-27,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,56.3966413458409,52.0166602224205,48.1920566928599,35,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JgEvh7RSaiI7EB ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2z8hIl6skp9tOpD,NA ; https://www.rnz.co.nz/international/pacific-news/414833/png-looks-to-ease-restrictions-amid-new-normal,2020-05-11,2020-05-11T14:03:56Z,1,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_1MK9dHQ9ZDIoAwIFv,8387766Fv,update,End of Policy,,"",Papua New Guinea announces that all schools will be closed starting March 24 until April 27. UPDATE: Policy ends because tertiary education resumed April 27.,2020-03-23,2020-03-24,2020-04-27,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,56.3966413458409,52.0166602224205,48.1920566928599,35,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JgEvh7RSaiI7EB ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2z8hIl6skp9tOpD,NA ; https://www.rnz.co.nz/international/pacific-news/414833/png-looks-to-ease-restrictions-amid-new-normal,2020-05-11,2020-05-11T14:03:56Z,1,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_1MK9dHQ9ZDIoAwICd,8387766Cd,update,End of Policy,,"",Papua New Guinea announces that all schools will be closed starting March 24 until April 27. UPDATE: Policy ends because tertiary education resumed April 27.,2020-03-23,2020-03-24,2020-04-27,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,56.3966413458409,52.0166602224205,48.1920566928599,35,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JgEvh7RSaiI7EB ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2z8hIl6skp9tOpD,NA ; https://www.rnz.co.nz/international/pacific-news/414833/png-looks-to-ease-restrictions-amid-new-normal,2020-05-11,2020-05-11T14:03:56Z,1,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_3gRUoiDqVyCXe9bEl,1951527El,new_entry,,,"","Papua New Guinea, Emergency controller has announced that primary and secondary schools will remain closed from April 27 until May 4.",2020-04-22,2020-04-27,2020-05-04,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,74.7258068806884,71.4711672102426,68.0373935032024,91,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_vkxhMMjY4lay7i9,https://www.rnz.co.nz/international/pacific-news/414833/png-looks-to-ease-restrictions-amid-new-normal,2020-05-11,2020-05-11T14:07:15Z,8,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_3gRUoiDqVyCXe9bFv,1951527Fv,new_entry,,,"","Papua New Guinea, Emergency controller has announced that primary and secondary schools will remain closed from April 27 until May 4.",2020-04-22,2020-04-27,2020-05-04,The policy has a clear end date,Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Papua New Guinea,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,74.7258068806884,71.4711672102426,68.0373935032024,91,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_vkxhMMjY4lay7i9,https://www.rnz.co.nz/international/pacific-news/414833/png-looks-to-ease-restrictions-amid-new-normal,2020-05-11,2020-05-11T14:07:15Z,8,0,0,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
R_3MuQziRdZlZy5DAEk,8513441Ek,new_entry,,,"","In Papua Guinea ""Ministerial Policy Statement No 5 of 2020 by the Ministry of Education (dated 05 June) orders for the resumption
of normal classes in the National Education System on 9 June. All schools are directed to comply with new normal COVID-19 prevention and control protocols issued by SOE Controller. The requirement for social distancing is relaxed but must be observed where applicable.""",2020-06-05,2020-06-09,2020-06-10,The policy is a one-time measure (e.g. publication of guidelines),Papua New Guinea,PNG,PG,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Papua New Guinea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,62.8607747226402,59.1411518604011,56.0825069805442,52,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3GfFz8kKD5bCxm1,https://www.health.gov.pg/covid19/PNGSR24PCOVID-19(2020-06-07).pdf,2021-06-08,2021-06-08T10:59:16Z,8,0,8,,,,,,,,,46,23.9,2,0.199364259839058,0.394925087690353,11,28,8606316,20800889833.7334,-0.820774238373588,15.968006910275,23.7582616032066,2,2,0.164467186234793,-0.659343674604906,31212
